CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,Weight,Encoded_Brand,Price,Encoded_OS
17441,12961,17.3,1920,1080,16.0,1024.0,3.0,1,1169.0,5
1556,324,14.0,1366,768,4.0,64.0,1.41,21,433.32,6
15287,4253,14.0,1920,1080,16.0,512.0,1.37,21,1598.0,6
12802,1476,14.0,1366,768,8.0,256.0,3.64,11,889.34,6
10346,2690,15.6,1920,1080,20.0,1024.0,1.65,1,939.51,6
28906,19560,17.3,2560,1440,16.0,1024.0,3.0,1,1169.29,6
178,14124,15.6,1920,1080,16.0,512.0,2.2,4,879.0,5
2350,2690,15.6,1920,1080,8.0,512.0,2.57,1,699.99,6
11027,1476,15.6,1920,1080,16.0,512.0,2.34,16,489.0,6
17329,12961,15.6,1920,1080,16.0,512.0,2.1,1,769.0,5
9891,2690,14.0,1920,1080,8.0,512.0,1.4,11,714.01,5
3928,13772,16.0,1920,1200,64.0,2000.0,2.61,11,2218.36,6
32933,12961,15.6,1920,1200,32.0,1024.0,1.92,11,2221.03,5
3240,926,12.0,2160,1440,16.0,512.0,1.66,27,860.0,5
15853,2040,14.0,1920,1080,32.0,2048.0,1.41,21,919.0,6
101,926,15.6,1366,768,4.0,500.0,2.36,4,318.98,9
14812,2040,15.6,1920,1080,8.0,512.0,2.68,1,690.21,6
1655,1476,17.3,1920,1080,8.0,512.0,3.0,16,479.0,6
26423,576,14.0,1366,768,8.0,256.0,3.32,11,569.95,5
12802,12961,15.6,1920,1080,64.0,2000.0,3.64,11,1252.89,5
10779,4,7.0,1920,1080,16.0,512.0,2.62,37,999.99,6
3642,1476,15.6,1920,1080,16.0,256.0,1.59,11,882.41,5
9716,2040,15.6,1366,768,32.0,1024.0,1.82,16,404.99,6
20753,12961,15.6,1920,1200,16.0,2000.0,13.18,11,2175.99,6
15287,2690,16.0,1920,1200,16.0,1024.0,2.05,21,1259.0,5
11287,17089,15.6,1920,1080,16.0,512.0,1.86,23,1039.0,5
24268,7320,17.3,1920,1080,32.0,1024.0,3.0,1,1499.0,5
2621,4253,15.6,1366,768,16.0,1000.0,1.77,16,459.99,6
3591,1042,14.0,1366,768,4.0,128.0,1.43,16,439.0,5
23896,17089,15.6,2560,1440,40.0,1024.0,1.9,4,1849.99,6
23728,23757,17.3,2560,1440,16.0,1000.0,3.64,11,2814.29,6
13554,2690,15.6,1920,1080,32.0,1024.0,1.76,16,1099.0,6
23062,4253,14.0,1920,1080,8.0,1024.0,2.7,11,1664.9,5
23728,23757,15.6,1920,1080,16.0,2000.0,3.64,11,1871.09,6
17441,12961,15.6,1920,1080,16.0,1024.0,2.73,23,1329.99,6
17229,2690,14.0,2560,1600,16.0,1024.0,1.23,1,1401.7,6
4982,1476,15.6,1920,1080,4.0,128.0,1.82,4,329.0,5
32140,7320,15.6,1920,1080,24.0,1024.0,2.28,11,1369.0,6
3122,12961,17.3,1920,1200,8.0,8192.0,2.73,11,3663.65,6
17441,12961,17.3,1920,1080,8.0,1024.0,2.5,1,1209.0,5
2499,4253,14.0,1366,768,8.0,120.0,2.27,21,243.98,5
13775,2690,14.0,1920,1200,32.0,1024.0,2.18,11,1419.0,6
17441,926,14.0,1920,1080,16.0,512.0,2.09,27,588.0,8
7460,1476,15.6,1366,768,12.0,256.0,0.2,21,469.99,5
23728,12961,16.0,2560,1600,32.0,2000.0,2.45,11,1265.87,6
24971,1476,14.0,1920,1080,32.0,512.0,1.23,11,1027.94,5
34115,19560,16.1,2560,1440,32.0,1024.0,2.7,16,1859.0,6
13554,2690,14.0,1920,1080,16.0,512.0,2.4,21,599.99,6
17329,12961,15.6,1920,1080,24.0,2048.0,2.1,1,989.0,5
11027,1476,15.6,1920,1080,16.0,1024.0,2.05,11,449.0,6
11757,12961,15.6,1920,1080,8.0,512.0,2.0,4,1079.0,6
15084,2040,16.0,1920,1200,8.0,512.0,1.97,11,759.0,5
17441,1476,12.5,1366,768,4.0,320.0,1.5,21,163.98,5
32933,17089,17.0,1920,1200,64.0,1024.0,1.8,11,2814.72,5
1508,296,15.6,1920,1080,4.0,128.0,2.09,21,529.99,5
21525,7320,14.0,2880,1800,16.0,1024.0,1.49,12,1249.0,6
20753,17089,16.0,2560,1600,16.0,512.0,2.41,1,1489.0,6
23728,12961,16.0,1920,1080,8.0,512.0,3.64,11,1682.91,6
13775,4601,17.3,1920,1080,20.0,1024.0,2.55,16,1549.99,6
23276,7320,15.6,1920,1080,16.0,512.0,1.86,23,1249.0,6
1108,926,11.6,1366,768,4.0,128.0,1.27,4,342.0,5
24268,7320,17.3,1920,1080,64.0,4096.0,3.0,1,1949.0,5
18462,4601,15.6,1920,1080,24.0,1024.0,2.35,11,1099.0,5
7460,2690,15.6,1920,1080,32.0,1024.0,1.7,11,519.0,6
26454,12961,15.6,1920,1080,16.0,1024.0,1.8,4,1209.99,6
6132,1476,14.0,1920,1080,8.0,512.0,1.5,21,439.0,6
13775,2690,15.6,1920,1080,16.0,1024.0,2.57,16,1099.0,6
48083,13772,17.0,3840,2400,64.0,2000.0,3.64,11,3100.23,6
4982,1476,14.0,1366,768,4.0,128.0,1.5,16,295.95,5
8473,12961,15.6,1920,1080,8.0,512.0,2.3,1,979.0,6
15853,2040,14.0,1920,1080,16.0,512.0,1.64,21,949.0,5
23728,23757,17.3,1920,1080,64.0,2000.0,3.64,11,2407.86,6
17441,7868,15.6,1920,1080,8.0,512.0,3.64,16,759.0,5
24971,4253,15.6,1920,1080,8.0,1000.0,3.64,11,1067.21,5
23276,17089,15.6,1920,1080,16.0,1024.0,2.88,23,1289.99,6
17546,2690,16.0,1920,1200,24.0,512.0,2.12,21,1359.0,6
23276,4253,14.0,1366,768,16.0,256.0,1.36,11,727.64,5
26454,12961,15.6,1920,1080,24.0,1024.0,1.82,4,1259.0,5
9339,1476,17.3,1600,900,8.0,256.0,3.14,4,482.99,6
19333,2690,15.6,1920,1200,16.0,512.0,1.14,20,1171.99,6
28003,2690,16.0,2560,1600,32.0,1024.0,1.4,11,1439.0,5
6132,1476,15.6,1920,1080,8.0,128.0,1.65,1,299.99,6
15287,2690,14.0,2240,1400,16.0,1024.0,1.6,21,1099.0,6
26423,2690,16.0,3072,1920,16.0,2048.0,2.05,16,1899.0,6
9970,2690,15.0,1920,1080,8.0,256.0,2.84,11,733.42,5
23728,1476,16.0,3072,1920,32.0,1000.0,3.64,11,814.23,6
18462,12961,14.0,1920,1080,16.0,512.0,1.39,1,918.56,6
16980,2690,17.3,1920,1080,16.0,1024.0,2.09,16,829.0,6
15735,2119,15.0,2496,1664,16.0,512.0,1.55,25,825.0,5
6132,1476,15.6,1920,1080,12.0,512.0,1.82,4,395.0,6
1556,324,14.0,1366,768,4.0,64.0,1.27,4,239.99,6
9891,2690,14.0,1920,1080,16.0,512.0,1.29,23,1020.0,5
13144,2040,15.6,1920,1080,12.0,512.0,1.33,16,629.0,6
6132,1476,14.0,1366,768,12.0,1024.0,1.37,4,499.0,5
1445,333,14.0,1920,1080,4.0,64.0,1.41,21,164.0,5
116,1476,17.3,1600,900,8.0,128.0,2.46,16,678.0,5
26423,12961,16.0,1920,1200,16.0,1024.0,2.2,11,1159.0,6
17546,2690,16.0,1920,1200,16.0,512.0,1.94,21,1319.0,5
7773,1585,15.6,1920,1080,8.0,256.0,1.68,4,427.0,5
18462,4601,15.6,1920,1080,16.0,512.0,1.64,11,999.0,6
23728,17089,16.0,3072,1920,32.0,1000.0,3.64,11,1655.17,6
14812,7320,17.3,1920,1080,16.0,1024.0,2.78,1,1178.99,5
658,926,15.6,1366,768,2.0,16.0,1.91,1,219.0,0
23276,22459,15.6,1920,1080,32.0,1024.0,2.01,4,1679.0,6
29690,12961,16.0,1920,1200,8.0,512.0,1.82,4,1399.0,6
15853,2040,15.6,1920,1080,32.0,1024.0,1.65,11,799.0,5
10346,2690,13.5,2256,1504,8.0,512.0,1.49,1,739.0,6
19333,12961,16.0,2560,1600,32.0,1024.0,1.32,20,1849.0,6
5853,2040,15.6,1920,1080,8.0,512.0,1.81,1,509.0,6
28906,19560,17.3,2560,1600,16.0,1024.0,2.72,1,1499.0,5
23728,12961,15.6,1920,1200,32.0,1000.0,3.64,11,1955.4,6
24971,4253,14.0,1920,1080,16.0,512.0,1.45,11,449.69,5
23728,12961,15.6,1920,1200,16.0,1000.0,3.64,11,1889.08,6
3122,12961,17.3,1920,1200,32.0,2048.0,2.73,11,2212.99,5
1108,4253,14.0,1366,768,4.0,64.0,1.41,4,184.99,0
6026,1476,14.0,1920,1080,8.0,256.0,1.55,4,469.0,5
18462,8370,15.6,1920,1080,32.0,1024.0,1.69,11,999.99,5
26423,2690,15.6,2880,1620,16.0,1024.0,1.82,4,1339.99,6
6256,4,15.6,1920,1080,16.0,512.0,1.42,11,442.0,6
1208,1476,11.6,1366,768,8.0,500.0,1.68,11,190.98,5
9891,2690,15.6,1920,1080,16.0,1024.0,1.74,11,749.0,5
13775,2690,15.6,1920,1080,16.0,512.0,1.68,11,793.99,6
18462,4601,15.6,1920,1080,64.0,4096.0,1.68,11,1599.99,6
13446,2040,15.6,1920,1080,16.0,512.0,1.68,21,721.81,5
23728,12961,15.6,1920,1200,16.0,1000.0,3.64,11,1924.22,6
9891,2690,14.0,1920,1080,16.0,512.0,1.36,21,899.0,6
15287,2690,14.0,1920,1200,16.0,512.0,1.25,1,649.99,6
34115,19560,16.0,2560,1600,32.0,1024.0,2.55,21,1959.0,6
26454,2690,15.6,1920,1080,16.0,256.0,1.47,16,668.0,5
1223,333,11.6,1360,768,4.0,160.0,1.37,16,209.0,0
48083,13772,14.0,1920,1200,32.0,2000.0,3.64,11,3129.07,6
26423,12961,15.6,1920,1200,32.0,2048.0,1.92,11,2011.51,6
23276,1476,13.3,1920,1080,16.0,512.0,1.6,11,808.49,6
1108,926,11.6,1366,768,4.0,256.0,1.27,4,354.17,5
44977,19560,15.6,1920,1080,64.0,2048.0,1.68,11,2049.0,6
15853,2040,16.0,1920,1200,16.0,4096.0,2.1,21,1329.0,5
4982,1476,14.0,1920,1080,12.0,512.0,2.04,16,549.0,5
2350,2690,15.6,1920,1080,32.0,256.0,1.99,11,1097.24,6
48083,23757,17.3,1920,1080,64.0,2000.0,3.64,11,2415.95,6
8473,12961,15.6,1920,1080,32.0,512.0,2.3,1,849.0,5
739,236,15.6,1366,768,4.0,500.0,0.55,4,499.0,8
17441,1476,15.6,1920,1080,16.0,256.0,1.73,11,699.0,5
17441,2690,15.6,1920,1080,12.0,512.0,1.68,1,619.0,6
9891,2690,14.0,1920,1080,8.0,256.0,1.64,16,508.0,6
24971,4253,15.6,1920,1080,16.0,512.0,1.59,11,1131.89,5
23276,7868,17.3,1920,1080,8.0,512.0,1.53,23,1199.99,5
3810,1042,14.0,1366,768,4.0,128.0,1.47,11,457.23,0
13554,1476,15.6,1920,1080,16.0,512.0,1.68,11,529.0,6
13775,2690,14.0,2880,1800,16.0,1024.0,1.5,21,1159.0,6
14526,7868,17.3,1920,1080,64.0,4096.0,2.59,4,1539.0,6
2350,7320,17.3,1920,1080,16.0,512.0,2.13,4,1629.79,3
13775,2690,15.6,1920,1080,32.0,1024.0,1.68,11,894.98,6
2350,12961,15.6,1920,1200,16.0,1000.0,3.64,11,1889.08,6
24971,4253,13.0,1920,1080,16.0,256.0,1.23,11,727.64,5
4390,4253,14.0,1366,768,12.0,1000.0,2.44,28,399.99,6
14812,1476,15.6,1366,768,64.0,256.0,3.64,11,762.42,6
23728,23757,15.6,1920,1080,16.0,256.0,3.64,11,1699.0,6
15287,2690,16.0,1920,1200,16.0,2048.0,2.68,21,1279.0,6
13554,4253,15.6,1920,1080,16.0,512.0,1.73,21,849.99,6
24971,4253,15.6,1920,1080,16.0,512.0,1.59,11,1131.89,5
1108,926,14.0,1366,768,2.0,32.0,1.45,21,239.0,5
26423,12961,16.0,1920,1200,16.0,1024.0,1.96,11,1209.0,6
10280,2690,15.6,1920,1080,16.0,1024.0,2.8,16,929.0,6
8185,23757,17.3,1920,1080,32.0,2000.0,3.64,11,2598.74,6
2658,1476,15.6,1366,768,8.0,240.0,2.45,11,250.98,5
48083,23757,17.3,1920,1080,16.0,1000.0,3.64,11,1599.66,6
24971,4253,14.0,1920,1080,32.0,512.0,3.64,11,1111.1,5
23728,27324,15.6,1920,1080,12.0,2000.0,2.67,11,1871.09,6
10346,2690,15.6,1920,1080,16.0,1024.0,1.7,16,769.0,6
37546,12961,16.0,1920,1200,16.0,512.0,2.05,11,959.99,6
2010,4253,14.0,1920,1080,16.0,256.0,2.23,11,797.0,5
17546,2690,16.0,1920,1200,16.0,512.0,1.7,21,1319.0,6
23062,4253,13.3,1920,1080,16.0,512.0,1.18,11,822.35,5
34905,11157,17.3,3840,2160,32.0,1024.0,5.2,23,3649.0,6
6132,1476,14.0,1920,1080,20.0,1024.0,1.5,21,398.0,6
2350,4253,14.0,1920,1080,8.0,256.0,2.36,21,913.99,0
28003,7320,16.0,2560,1600,16.0,512.0,2.04,21,1199.0,6
1417,4253,11.6,1366,768,4.0,32.0,1.73,16,174.0,5
19012,12961,15.6,1920,1080,16.0,2048.0,2.09,11,1109.0,6
48083,23757,16.0,2560,1600,32.0,1000.0,2.45,11,1601.66,6
28003,8274,15.6,1920,1200,16.0,512.0,1.92,11,1699.0,6
15287,2690,14.0,2240,1400,16.0,2048.0,1.96,21,1219.0,5
18462,2040,15.6,1920,1080,16.0,1024.0,2.0,21,919.99,5
8641,4253,14.0,1920,1080,8.0,256.0,1.64,4,791.44,0
9716,240,15.6,1366,768,8.0,256.0,1.73,16,361.97,6
2621,1476,17.3,1600,900,16.0,512.0,2.12,16,429.0,6
26423,17089,15.6,1920,1080,16.0,2048.0,2.5,1,1629.0,5
10346,2690,13.3,1920,1080,16.0,512.0,1.27,11,1085.0,6
13554,2690,15.6,1920,1080,8.0,512.0,2.5,21,624.54,6
32929,19560,16.0,2560,1600,16.0,2048.0,2.52,21,1969.0,6
6403,4601,17.3,1920,1080,32.0,1024.0,2.55,16,1699.99,6
184,1042,14.0,1920,1080,4.0,64.0,1.44,16,260.0,5
18435,7320,15.6,1920,1080,16.0,1024.0,2.29,16,602.89,6
48083,26876,16.0,1920,1200,16.0,1024.0,3.18,4,1699.99,6
10346,2690,17.3,1920,1080,20.0,1024.0,2.09,16,1149.0,5
14526,7868,15.6,1920,1080,8.0,1024.0,2.0,1,857.0,5
2502,1476,14.0,1366,768,16.0,500.0,1.91,11,257.98,5
8475,4253,14.0,1366,768,4.0,128.0,1.41,21,240.99,6
3089,926,14.0,1366,768,8.0,8.0,1.83,16,758.66,0
17093,7868,15.6,1920,1080,24.0,512.0,2.25,21,1099.99,5
12421,7320,15.6,1366,768,16.0,4000.0,3.64,11,2105.07,6
6287,4253,14.0,1920,1080,16.0,512.0,2.27,11,339.99,5
2010,4253,14.0,1920,1080,32.0,512.0,2.11,11,349.99,5
13446,1645,15.6,1920,1080,8.0,256.0,1.96,11,590.0,5
29690,12961,16.0,1920,1200,8.0,512.0,1.8,4,1349.0,6
15287,2690,15.6,1920,1080,64.0,2048.0,1.35,16,1629.0,6
20198,17089,15.6,1920,1080,16.0,512.0,0.91,11,1289.0,5
1556,4253,14.0,1366,768,4.0,64.0,0.46,4,189.0,5
20753,12961,15.6,1920,1080,8.0,512.0,2.2,1,899.0,5
178,2040,15.6,1920,1080,8.0,512.0,2.82,21,700.75,6
28003,1476,15.6,1920,1080,16.0,512.0,3.64,11,1149.99,6
1417,4253,15.6,1920,1080,4.0,128.0,1.6,21,245.0,8
2130,751,10.1,1920,1200,16.0,128.0,1.48,27,599.0,5
23062,1476,14.0,1366,768,32.0,512.0,1.36,11,633.26,5
13775,2690,14.0,1920,1080,64.0,2048.0,1.55,11,1549.99,5
10954,2040,15.6,1366,768,12.0,256.0,1.73,16,577.49,5
17441,7868,15.6,1920,1080,8.0,512.0,2.73,11,4814.88,5
3642,1476,15.6,1920,1080,16.0,500.0,1.59,11,899.74,5
3919,1042,15.6,1366,768,8.0,256.0,0.45,21,364.26,5
2495,14124,17.3,1920,1080,16.0,256.0,3.0,21,1599.0,5
13554,2690,14.0,1920,1080,16.0,1024.0,1.5,16,876.49,6
17229,2690,14.0,2560,1600,16.0,1024.0,1.4,8,1579.99,3
2499,1476,14.0,1366,768,16.0,500.0,1.93,21,234.98,5
6978,1585,14.0,1920,1080,8.0,256.0,1.59,21,608.88,5
32744,13772,16.0,3840,2400,16.0,4096.0,2.95,21,3009.99,6
13775,4601,17.3,1920,1080,32.0,2048.0,2.55,16,1749.0,6
23728,12961,15.6,3840,2160,16.0,1000.0,3.64,11,2142.39,6
1536,4253,13.3,2560,1600,24.0,512.0,2.79,3,1899.0,2
23728,23757,17.3,1920,1080,16.0,1000.0,3.64,11,1599.66,6
20753,12961,15.6,1920,1080,8.0,256.0,3.09,23,815.23,6
23276,7576,15.6,3840,2400,16.0,4000.0,4.06,11,5716.85,5
15084,12961,15.6,1920,1080,8.0,256.0,2.82,1,749.0,6
23276,4253,15.6,1920,1080,8.0,512.0,1.59,11,1286.0,5
26423,17089,16.0,2560,1600,64.0,4096.0,1.52,23,2249.0,6
1417,324,14.0,1366,768,4.0,64.0,1.45,16,215.0,5
1628,333,15.6,1360,768,4.0,500.0,2.1,21,679.77,5
24971,4253,14.0,1920,1080,16.0,256.0,1.48,11,889.34,5
34115,26876,16.0,2560,1600,48.0,2048.0,3.32,11,2419.0,5
26423,12961,16.0,3072,1920,16.0,512.0,2.38,11,1339.0,5
3855,2040,14.0,1920,1080,8.0,1024.0,1.45,4,739.99,5
30878,2690,16.0,3840,2160,16.0,512.0,1.75,16,1185.01,6
12802,1476,16.0,1920,1200,8.0,512.0,2.05,11,719.99,6
26423,2690,14.0,1920,1800,12.0,512.0,1.4,21,1099.0,5
17441,12961,15.6,1920,1080,16.0,1024.0,2.73,23,1279.99,5
12421,4253,15.6,1920,1080,16.0,512.0,1.77,16,804.88,6
23728,23757,17.3,1920,1080,32.0,1000.0,3.64,11,3145.39,6
3108,2690,15.6,1920,1080,20.0,1024.0,1.7,21,590.48,6
8473,12961,15.6,1920,1080,8.0,256.0,2.3,1,949.0,6
6528,2040,17.3,1600,900,12.0,1024.0,2.09,16,939.99,5
16162,12961,15.6,1920,1080,8.0,512.0,2.2,1,899.0,6
2499,1476,14.0,1366,768,16.0,512.0,2.0,11,277.98,5
23276,22459,15.6,1920,1080,16.0,1024.0,2.0,4,1549.0,6
17329,12961,15.6,1920,1080,32.0,2048.0,1.78,1,1029.0,5
2708,2040,14.0,1366,768,4.0,128.0,1.55,21,182.31,5
3642,1476,14.0,1920,1080,16.0,1000.0,3.64,11,1261.25,6
1556,4253,11.6,1366,768,4.0,128.0,1.36,4,269.99,0
1556,324,14.0,1366,768,4.0,64.0,1.36,21,175.0,6
12012,7868,15.6,1920,1200,32.0,2048.0,2.05,11,2215.26,6
18462,4601,15.6,1920,1080,24.0,2048.0,1.64,11,1169.0,5
15735,17089,15.6,2560,1440,16.0,512.0,3.64,11,1724.66,6
13775,6020,16.0,1920,1200,32.0,2048.0,2.86,11,1559.0,6
16980,2690,17.0,1920,1080,8.0,512.0,2.09,1,699.99,6
24971,4253,13.3,1920,1080,16.0,256.0,1.23,11,299.99,5
13144,2040,15.6,1920,1080,16.0,1024.0,1.86,16,849.0,5
7646,11706,15.6,1920,1080,16.0,512.0,1.86,23,889.0,6
2272,2690,15.6,1920,1080,16.0,512.0,1.66,11,689.0,5
2499,1476,14.0,1366,768,16.0,128.0,1.93,21,246.98,5
14526,7868,17.3,1920,1080,24.0,1024.0,2.01,4,1019.0,6
21133,2040,17.3,1920,1080,8.0,512.0,2.09,4,699.99,6
23728,17089,17.3,1920,1080,32.0,2000.0,3.64,11,3136.92,6
17441,2690,17.3,1920,1080,32.0,2048.0,2.21,16,1299.0,6
2736,1476,14.0,1366,768,8.0,500.0,1.56,11,234.98,5
26454,7320,15.6,1920,1080,16.0,512.0,3.05,23,1199.0,6
10999,2040,17.3,1920,1080,12.0,256.0,2.32,16,719.0,6
23062,1042,13.3,1920,1080,16.0,1024.0,1.32,11,891.65,5
9947,3266,17.3,1920,1080,8.0,1024.0,1.2,21,1449.09,5
6132,1476,15.6,1920,1080,8.0,256.0,2.0,16,375.0,5
2703,4253,14.0,1366,768,12.0,500.0,2.5,16,257.98,5
28906,19560,17.3,2560,1600,64.0,4096.0,3.0,1,2149.0,6
28523,23757,15.6,2560,1440,32.0,4096.0,2.3,4,2569.0,6
28003,13772,14.0,1920,1200,32.0,1000.0,3.64,11,2100.52,6
26423,22459,16.0,2560,1600,16.0,1024.0,2.41,1,1668.0,6
8473,12961,15.6,1920,1080,32.0,1024.0,2.3,1,1159.0,6
28003,4253,13.4,1920,1200,16.0,512.0,1.23,11,1497.87,6
19333,2690,16.0,2560,1600,32.0,2048.0,1.5,20,1769.0,6
2350,17089,16.0,1366,768,32.0,1024.0,2.45,11,1211.59,3
9716,2040,14.0,1366,768,16.0,512.0,1.45,16,449.0,6
26423,26876,15.6,1920,1080,16.0,1024.0,2.54,4,1399.0,5
48120,13772,17.3,1920,1080,64.0,512.0,3.64,11,2637.72,6
534,122,15.6,1366,768,4.0,500.0,2.64,4,599.0,8
10346,1476,15.6,1920,1080,16.0,512.0,1.68,11,966.0,5
2947,2690,14.0,3840,2160,16.0,1024.0,1.32,21,1159.0,6
13775,2690,15.6,1920,1080,32.0,2048.0,1.59,11,1599.99,6
13775,6020,16.0,1920,1200,32.0,1024.0,1.87,11,1399.0,5
23276,7320,15.6,1920,1080,24.0,1024.0,1.64,23,1369.0,6
17229,12961,14.0,2240,1440,16.0,2048.0,1.41,1,1419.0,6
23276,12961,16.0,2560,1600,32.0,1024.0,2.0,4,1399.0,5
13554,2690,14.0,1920,1080,8.0,512.0,1.5,16,560.0,6
7460,1476,15.6,1366,768,8.0,256.0,2.05,11,400.0,5
11027,2690,15.6,1920,1080,8.0,256.0,2.55,1,499.99,0
23276,7576,17.0,1920,1200,32.0,4096.0,2.51,11,3052.65,5
23728,12961,14.0,1920,1080,16.0,512.0,3.64,11,1632.34,6
17229,2690,17.0,2560,1600,16.0,512.0,2.57,20,1299.0,6
1843,2040,14.0,1920,1080,4.0,64.0,1.5,21,199.0,5
101,1476,11.6,1366,768,4.0,32.0,1.3,11,299.91,0
2443,10075,15.6,1920,1080,16.0,512.0,2.82,11,1795.0,5
13554,2690,15.6,1920,1080,16.0,512.0,1.63,21,649.99,6
22851,12961,12.3,2736,1824,16.0,256.0,2.69,25,1339.99,6
2385,926,11.6,1366,768,4.0,128.0,1.14,31,288.0,0
12421,7320,16.0,2560,1600,16.0,1000.0,1.85,11,1258.39,6
3642,4253,14.0,1920,1080,8.0,512.0,1.23,11,754.21,6
2010,4253,13.3,1366,768,8.0,256.0,1.5,11,592.5,5
20753,12961,15.6,1920,1080,16.0,1024.0,1.78,1,999.0,6
16506,2040,16.0,1920,1200,16.0,2048.0,2.05,4,969.0,5
23276,1476,15.6,1920,1080,8.0,512.0,2.33,11,1145.72,5
26423,17089,17.3,1920,1080,16.0,512.0,2.6,23,1137.67,6
2028,1476,12.5,1366,768,8.0,256.0,0.98,16,209.98,5
44977,26876,16.0,2560,1600,16.0,1024.0,2.55,21,2329.0,6
6650,1476,15.6,1920,1080,8.0,512.0,0.91,31,1099.99,5
23276,19560,15.6,1920,1080,16.0,1024.0,1.68,23,1339.0,6
6132,1042,15.6,1920,1080,4.0,128.0,2.45,4,324.99,6
13144,2040,15.0,1920,1080,12.0,256.0,2.12,16,325.49,6
2443,25351,15.6,1920,1080,32.0,512.0,1.8,11,2302.6,6
23276,13772,17.0,1920,1200,32.0,2000.0,1.47,11,2294.78,5
9891,2690,13.3,2560,1080,8.0,256.0,1.14,4,810.99,6
18462,2040,15.6,1920,1080,16.0,512.0,1.57,16,849.0,6
2521,1476,16.0,3072,1920,32.0,1000.0,2.0,11,788.86,5
1628,10181,14.0,1920,1080,16.0,1024.0,2.01,1,999.0,5
12421,12961,16.0,1920,1200,4.0,128.0,2.03,11,1155.39,6
28523,23757,15.6,2560,1440,16.0,2048.0,2.3,4,2319.0,6
1218,1476,15.6,1920,1080,8.0,256.0,1.65,21,494.01,6
17441,1476,15.6,1366,768,8.0,256.0,2.0,16,499.99,5
12012,16181,17.3,1920,1080,12.0,512.0,2.73,16,1799.99,5
3928,1476,14.0,1920,1080,16.0,2000.0,1.46,11,1029.1,6
164,4,15.6,1366,768,4.0,128.0,1.63,30,999.99,1
26423,4253,16.0,2560,1600,32.0,1024.0,1.63,8,2399.0,6
2499,1476,14.0,1366,768,16.0,1024.0,1.63,21,348.98,5
17329,2690,15.6,1920,1080,8.0,512.0,2.5,4,599.99,6
6650,1476,13.3,1920,1080,8.0,512.0,1.3,11,1229.0,5
