,Brand,Series,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
646,Lenovo,Chromebook C340,Intel Intel Core i3 Core i3-8130u 2.2 GHz,Intel UHD Graphics 620,4 GB,15.6 Inches,1920 x 1080,64 GB SSD,Chrome OS,4.4 Pounds,314.0
647,ASUS,Vivobook S 15,Intel Intel Core i9 Intel Core i9-13900H 2.9 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,2880 x 1620,1 TB SSD,Windows 11 Pro,3.75 Pounds,1449.99
648,HP,,Intel Intel Core i5 Intel Core i5-1135G7 2.4 GHz,Intel,32 GB,14 Inches,1920 x 1080 pixels,1000 GB SSD,Windows 11,3.6 Pounds,699.99
649,ASUS,Chromebook Vibe C55 Flip,Intel Intel Core i5 Intel Core i5-1135G7 4.2 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Chrome OS,6.19 Pounds,699.99
650,ROKC,Ideapad 3,Intel Intel Core i5 Intel Core i5-1135G7 2.4 GHz,Intel,20 GB,15.6 Inches,1920 x 1080 pixels,1000 GB SSD,Windows 11,3.7 Pounds,599.99
651,Lenovo,15ITL05,Intel Core i7 Family 2.8 GHz,Intel Iris Xe Graphics,8 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 10 Home,3.8 Pounds,1099.0
652,ASUS,ASUS,AMD Ryzen 3 3200U AMD Ryzen 3 3200U 2.6 GHz,AMD Radeon Vega 3,8 GB,15.6 Inches,1920 x 1080,256 GB SSD,Windows 10 Home,3.8 Pounds,518.5
653,Dell,Latitude 3330 Laptop,Intel Core i3 2 GHz,Intel Integrated Graphics,8 GB,13.3 Inches,1920 x 1080 pixels,256 GB SSD,Windows 11 Pro,2.7 Pounds,346.49
654,LG,LG gram,Intel Core i7 Core i7-1165G7 4.7 GHz,Intel Xe Graphics,16 GB,17 Inches,2560 x 1600 pixels,2 TB SSD,Windows 10,3 Pounds,999.0
655,Lenovo,ThinkPad E16 Gen 1,Intel Core i7 Family Intel Core i7-1355U 3.1 GHz,Intel Iris Xe Graphics,24 GB,16 Inches,1920 x 1200,1 TB SSD,Windows 11 Pro,3.9 Pounds,1299.0
656,Dell,Dell Inspiron,Intel Core i5 i5-1135G7 9 GHz,Intel Iris Xe Graphics,12 GB,15.6 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10,1 Pounds,419.99
657,Dell,,Intel Core i7 3.5 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,,1 TB SSD,Windows 11 Pro,,743.88
658,LG,15Z90RT-K.ADB9U1,Intel Core i7 i7-1360P 2.2 GHz,Intel Iris Xe Graphics,32 GB,16,1920 x 1080 pixels,2 TB SSD,Windows 11 Home,2.18 Pounds,1689.0
659,Lenovo,,,AMD,16 GB,14 Inches,,16 GB,No OS,1.6 Kilograms,589.0
660,ASUS,ROG Strix G15,AMD Ryzen 7 AMD Ryzen 7 6800H/HS Mobile 4.7 GHz,NVIDIA,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,,848.99
661,ROKC,Ideapad 3i,Intel Intel Core i3 Intel Core i3-1115G4 3 GHz,Intel,20 GB,15.6 Inches,,1000 GB SSD,Windows 11,3.64 Pounds,499.99
662,ASUS,Vivobook 17,Intel Pentium Intel Core PENTIUM 8505 4.4 GHz,Intel UHD Graphics,8 GB,17.3 Inches,1600 x 900 pixels,256 GB SSD,Windows 11 Home,6.9 Pounds,482.99
663,Lenovo,,Intel Intel Core i5 Intel Core i5-1235U 1.3 GHz,Intel,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,3.8 Pounds,849.99
664,HP,ELITEBOOK 820G2,Intel Core i5 INTEL CORE I5-5200U 2.2 GHz,Integrated Graphics,8 GB,12.5 Inches,1366 x 768 pixels,128 GB SSD,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,2.94 Pounds,212.98
665,HP,,AMD Ryzen 3 3250U 2.6 GHz,AMD Radeon Graphics,16 GB,15.6 Inches,1366 x 768,256 GB SSD,Windows 11 Home,4 Pounds,459.0
666,HP,15-dy2795wm,"Intel Intel Core i5 Intel Core i5-1135G7, 1 GHz",Intel,32 GB,15.6 Inches,,1000 GB SSD,Windows 11,3.52 Pounds,649.99
667,HP,15M-EU0043DX,AMD Ryzen 7 Ryzen 7 5700U 1.8 GHz,AMD Radeon Graphics,20 GB,15.6 Inches,1920x1080,1 TB SSD,Windows 10 Home,4.1 Pounds,1149.0
668,Microsoft,Surface Laptop,Intel Intel Core i7 Core i7 1.3 GHz,Intel Iris Plus,16 GB,13.5 Inches,2256 x 1504,256 GB SSD,Windows 10 Home,2.8 Pounds,810.0
669,HP,HP ENVY,Intel Core i7 i7-1255U 10 Core 4.7 GHz,Intel Iris,32 GB,17.3 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,5 Pounds,1053.39
670,ASUS,ASUS ExpertBook B3,Intel Intel Core i7-1165G7 Intel Core i7-1165G7 4.7 GHz,Intel Iris Xe Graphics,16 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 10 Pro,3.55 Pounds,941.17
671,ASUS,VivoBook,Intel Core i3 Family 1115G4 3 GHz,Intel UHD Graphics,12 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,3.97 Pounds,395.0
672,DELL,Inspiron,Intel Intel Core i5 Intel Core i5-1235U 3.3 GHz,Intel,32 GB,16 Inches,1920 x 1200 pixels,1000 GB SSD,Windows 11,4.1 Pounds,899.99
673,ASUS,ASUS VivoBook 16X,Intel Core i7 Intel Core i7-12700H 4.7 GHz,Intel Iris,16 GB,16,3840 x 2400,512 GB,Windows 11 Home,3.7 Pounds,1063.18
674,Lenovo,IdeaPad 3 Lenovo,Intel Core i5 Family i5-1235U 2.5 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,3.6 Pounds,659.99
675,ROKC,IdeaPad 3,Intel Intel Core i3 Intel Core i3-1115G4 1.7 GHz,Intel,20 GB,14 Inches,1920 x 1080 pixels,1000 GB SSD,Windows 11,3.3 Pounds,389.99
676,SAMSUNG,"Galaxy Book2 Pro 13.3"" i5/8G/256G Silver",Intel Intel Core i5 1240P 1.7 GHz,Intel,8 GB,13.3 Inches,1920 x 1080 pixels,256 GB SSD,Windows 11 Home,1.92 Pounds,851.2
677,ASUS,ASUS VivoBook 13 Slate,Intel Pentium Intel Pentium Silver N6000 3.3 GHz,Intel UHD Graphics,4 GB,13.3 Inches,1920 x 1080 pixels,128 GB SSD,Windows 11 S,1.7 Pounds,599.99
678,Dell,Latitude 7320 Detachable 2-in-1,Intel Core i7 2.2 GHz,Intel,16 GB,13 Inches,1920 x 1080 pixels,256 GB SSD,Windows 11 Pro,1.7 Pounds,999.99
679,SAMSUNG,XE530QDA-KB1US,Intel Core i3 Intel Core i3-10110U Processor 2.1 GHz,Intel UHD Graphics,16 GB,13.3,1920 x 1080 pixels,,Chrome OS,3.7 Pounds,689.99
680,Lenovo,2022,Intel Core i3 Intel Core i3,Intel,4 GB,14,1366 x 768 pixels,,Windows 11 S,3.1 Pounds,240.99
681,HP,Spectre x360 2-in-1,Intel Core i7 Family Intel Core i7-12700H 2.8 GHz,Intel Iris Xe Graphics,16 GB,16 Inches,3072 x 1920 pixels,512 GB SSD,Windows 11 Pro,,1389.0
682,DELL,Inspiron i7420,Intel Core i7 Family Intel Core i7-1255U 3 GHz,Intel Iris Xe Graphics,32 GB,14 Inches,1920 x 1200,1 TB SSD,Windows 11 Pro,,1419.0
683,HP,Envy x360 2-in-1,AMD Ryzen 7 AMD Ryzen 7 5825U 2.5 GHz,AMD Radeon Graphics,64 GB,15.6 Inches,1920 x 1080,2 TB SSD,Windows 11 Pro,,1439.0
684,acer,Aspire 5 A515,AMD Ryzen 7 3700U AMD Ryzen 7 3700U 2.2 GHz,AMD Radeon Graphics,8 GB,15.6 Inches,1920 x 1080,1 TB SSD,Windows 11 Pro,3.99 Pounds,729.0
685,Dell,Vostro 7620 Laptop,Intel Core i7 3.5 GHz,NVIDIA GeForce RTX 3050,8 GB,16 Inches,1920 x 1200 pixels,512 GB SSD,Windows 11 Pro,4.46 Pounds,649.99
686,Lenovo,IdeaPad 3 14,AMD AMD Ryzen 7 AMD Ryzen 7 5700U 2.1 MHz,AMD Radeon Graphics,32 GB,14 Inches,1920 x 1080,2 TB SSD,Windows 11 Pro,3.11 Pounds,919.0
687,HP,15-DY2035GT,Intel Core i3 Family 2 GHz,Intel UHD Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,3.86 Pounds,649.0
688,HP,17-BY400,Intel Core i3 Family Intel Core i3-1115G4 1.8 GHz,Intel UHD Graphics,16 GB,17.3 Inches,1600 x 900,512 GB SSD,Windows 11 Home,,549.0
689,Dell,Inspiron 15,Intel Core i3 Family Intel Core i3-1115G4 3 GHz,Intel UHD Graphics,8 GB,15.6 Inches,1920 x 1080,1 TB SSD,Windows 10 Home,3.82 Pounds,579.0
690,Dell,Dell 3000,AMD Ryzen 7 AMD Ryzen 7 5825U 2 GHz,AMD Radeon Graphics with shared graphics memory,32 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 10 Home,3.71 Pounds,999.99
691,HP,HP 14 inch chromebook,Intel Celeron N3350 1.1 GHz,Intel HD Graphics 500,4 GB,14 Inches,1366x768,32 GB SSD,Chrome OS,327 Grams,205.0
692,HP,PROBOOK 645G1,AMD AMD A6 AMD A6-5350M 2.9 GHz,Integrated Graphics,8 GB,14 Inches,1366 x 768 pixels,500 GB HDD,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,4.4 Pounds,212.98
693,Dell,XPS 9305 Laptop,Intel Core i7 1.2 GHz,Intel,8 GB,13.3 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10 Home,2.6 Pounds,759.98
694,Lenovo,,Intel Core i7 Intel Core i7 1255U 1.7 GHz,Intel,16 GB,16 Inches,2560 x 1600 pixels,512 GB SSD,Windows 11 Home,4.63 Pounds,774.99
695,DELL,Inspiron,Intel Intel Core i7 Intel Core i7-1355U 3.7 GHz,Intel,32 GB,15.6 Inches,1920 x 1080 pixels,1000 GB SSD,Windows 11,3.6 Pounds,949.99
696,HP,Envy x360 2-in-1,Intel Core i7 Family Intel Core i7-1195G7 3.1 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080,1 TB SSD,Windows 11 Pro,,1189.0
697,Dell,Laptop,Intel Core i5 1135G7 4.2 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1366 x 768 pixels,1 TB SSD,Windows 10 Pro,12.96 Pounds,944.27
698,Lenovo,e15,Intel 8032 Core i5-10210U,Intel UHD Graphics,8 GB,3 Inches,1366x768,256 GB SSD,Windows 10 Pro,4.2 Pounds,799.99
699,HP,17-CN300,Intel Core i5 Family Intel Core i5-1335U 2.4 GHz,Intel Iris Xe Graphics,16 GB,17.3 Inches,1920 x 1080,1 TB SSD,Windows 11 Home,,829.0
700,Lenovo,IdeaPad 3,AMD Ryzen 5 Ryzen 5 5500U 2.2 GHz,AMD Radeon Graphics,8 GB,14 Inches,1920 x 1080,512 GB SSD,Windows 10 Pro,3.1 Pounds,629.0
701,Dell,Inspiron 7420 2-in-1,Intel Core i7 3.5 GHz,Intel Integrated Graphics,16 GB,14 Inches,1920 x 1200 pixels,512 GB SSD,Windows 11 Pro,3.46 Pounds,849.0
702,HP,15-DW300,Intel Core i3 Family Intel Core i3-1115G4 1.8 GHz,Intel UHD Graphics,32 GB,15.6 Inches,1920 x 1080,2 TB SSD,Windows 11 Home,,759.0
703,Dell,Dell Inspiron,AMD Ryzen 5 5500U 2.1 GHz,‎AMD Radeon Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,256 GB SSD,"Windows 11 Pro, Windows, Windows 11 Home",3.62 Pounds,699.0
704,HP,15-EG2053CL,Intel Core i5 Family 2.7 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11,3.86 Pounds,849.0
705,HP,14-DK000,AMD Ryzen 3 3200U AMD Ryzen 3 3200U 2.6 GHz,AMD Radeon Vega 3,8 GB,14 Inches,1366 x 768,256 GB SSD,Windows 11 Pro,,519.0
706,LG,16Z90RS-K.AAW7U1,Intel Core i7,Intel,16 GB,16,3840 x 2160 pixels,1 TB SSD,Windows 11 Home,2.76 Pounds,1296.99
707,Luqeeg,,,Intel HD Graphics 600,12 GB,7 Inches,,,No OS,1.43 Pounds,365.87
708,Dell,Latitude 5310 Multi-Touch 2-in-1,Intel Core i7 1.9 GHz,i7-10610,16 GB,13.3 Inches,1920 x 1080 pixels,512 GB SSD,Windows 10 Pro,,381.99
709,HP,PROBOOK 6470B,Intel Core i5-3340M 2.7 GHz,Integrated Graphics,8 GB,14 Inches,1366 x 768 pixels,320 GB HDD,Win 10 Pro 64 Bit Multi-Language Support English/French/Spanish,5.48 Pounds,199.98
710,SAMSUNG,Wifi,Intel Celeron N4500 1.1 GHz,Chrome OS,8 GB,14 Inches,1920 x 1080 pixels,32 GB SSD,Chrome OS,3.2 Pounds,313.62
711,Dell,Dell Precision,Intel Core i7 Core i7-6820HQ 2.7 GHz,Intel HD Graphics,8 GB,17.3 Inches,1920 x 1080 pixels,,Windows 10 Pro,11.75 Pounds,449.0
712,Toughbook,CF-54 MK3,Intel Intel Core i5 Intel Core i5-7300U 2.6 GHz,Intel HD Graphics 620,16 GB,14 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10 Pro,,698.99
713,Lenovo,82QE001QUS,Intel Core i5 Core™ i5-1235U Processor 3.3 GHz,Intel,16 GB,14 Inches,2240 x 1400,512 GB SSD,Windows 11 Home,,899.99
714,HP,HP,AMD Ryzen 3 AMD Ryzen 3 5300U 2.6 GHz,AMD Radeon Graphics,16 GB,15.6 Inches,1366 x 768 pixels,1024 GB SSD,Windows 11 Home,3.75 Pounds,409.99
715,Lenovo,IdeaPad,AMD Athlon 3050U 2.3 GHz,AMD Radeon Vega 3,12 GB,15.6 Inches,1366 x 768 pixels,256 GB SSD,Windows 11 Home,3.78 Pounds,295.99
716,Dell,Latitude 3440 Laptop,Intel Core i7 3.7 GHz,Intel Integrated Graphics,16 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,3.42 Pounds,923.99
717,Microsoft,M365 1Mo Bundle,AMD,AMD Radeon Graphics 7320,,,1920 x 1080 pixels,,No OS,,299.99
718,Lenovo,IdeaPad 3 15ITL6,Intel Core i3 Family Intel Core i3-1115G4 2 GHz,Intel UHD Graphics,24 GB,15.6 Inches,1920 x 1080,1 TB SSD,Windows 11 Home,,609.0
719,HP,17-CP000,AMD Athlon Silver 3050U AMD Athlon Silver 3050U 2.5 GHz,AMD Radeon Graphics,4 GB,17.3 Inches,1600 x 900,256 GB SSD,Windows 10 Home,,529.0
720,Apple,,,Integrated,16 GB,16 Inches,,512 GB,Mac OS,,1899.0
721,HP,Chromebook,Intel None Celeron N3060 1.6 GHz,Intel HD Graphics 400,4 GB,11.6 Inches,1366 x 768 pixels,16 GB Emmc,Chrome OS,2.51 Pounds,198.0
722,HP,HP Pavilion 15T-EG300,Intel Core i7 Family Intel Core i7-1360P 3 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080,1 TB SSD,Windows 11 Home,,1109.0
723,Lenovo,IdeaPad 3 81X8,Intel Core i3 Family Intel Core i3-1115G4 2.3 GHz,Intel UHD Graphics,8 GB,15.6 Inches,1920 x 1080,256 GB SSD,Windows 10 Pro,,509.0
724,Dell,Latitude 3520 Laptop,Intel Core i3 1.2 GHz,Intel Integrated Graphics,8 GB,15.6 Inches,,128 GB SSD,Windows 10 Pro,3.95 Pounds,657.38
725,Lenovo,IdeaPad 3 81WF,Intel Core i5 Family Intel Core i5-1035G1 1.7 GHz,Intel UHD Graphics,36 GB,17.3 Inches,1600 x 900,2 TB SSD,Windows 11 Pro,4.85 Pounds,969.0
726,Lenovo,IdeaPad Flex 5,Intel Core i5 Family Intel Core i5-1235U 2.5 GHz,Intel Iris Xe Graphics,16 GB,14 Inches,1920 x 1200 pixels,512 GB SSD,Windows 11 Home,3.3 Pounds,799.99
727,Toughbook,CF-33 MK1,Intel Core i5 2.4 GHz,Intel HD Graphics 520,8 GB,12 Inches,2160x1440,256 GB SSD,Windows 10 Pro,,759.99
728,HP,14-fq1003cl,AMD Ryzen 3 AMD Ryzen™ 3 5300U 2.6 GHz,AMD,16 GB,14 Inches,1366 x 768 pixels,1000 GB SSD,Windows 11,3.11 Pounds,499.99
729,HP,17-CN000,Intel Core i3 Family Intel Core i3-1125G4 2 GHz,Intel UHD Graphics,32 GB,17.3 Inches,1920 x 1080,1 TB SSD,Windows 11 Home,4.6 Pounds,779.0
730,Lenovo,ThinkPad E15,Intel Core i5 i5 4.4 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11,3.75 Pounds,899.99
731,HP,Envy x360 2-in-1,Intel Core i7 Family Intel Core i7-1355U 2.9 GHz,Intel Iris Xe Graphics,16 GB,14 Inches,1920 x 1080 pixels,4 TB SSD,Windows 11 Pro,3.35 Pounds,1519.0
732,Lenovo,ThinkPad T470 Business Laptop,Intel 1.2GHz Cortex A8 Processor Core i5-6300U 2.4 GHz,Integrated Intel HD Graphics 520,8 GB,14 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10 Pro,4.8 Pounds,939.9
733,Goldengulf,GG20826,Intel A10-7700K Z8350 1.92 GHz,1,2 GB,10.1 Inches,1280x800,32 GB SSD,Windows,1100 Grams,218.86
734,HP,15-dw1783wm,Intel Pentium Intel Pentium N5030 1.1 GHz,Intel UHD Graphics 605,4 GB,15.6 Inches,1366 x 768 pixels,128 GB SSD,Windows 11 Home,1.78 Kilograms,259.46
735,HP,Envy X360,Intel Core i7 Family Intel Core i7-1355U 1.7 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080,1 TB SSD,Windows 11 Pro,,1179.0
736,Lenovo,ThinkPad E14 Gen 3,AMD Ryzen 7 AMD Ryzen 7 5700U 2.4 GHz,AMD Radeon Graphics,16 GB,14 Inches,1920 x 1080,512 GB SSD,Windows 10 Pro,3.6 Pounds,949.0
737,Lenovo,IdeaPad Flex 5 16,Intel Core i7 Family Intel Core i7-1255U 2.9 GHz,Intel Iris Xe Graphics,16 GB,16 Inches,2560 x 1600 pixels,1 TB SSD,Windows 11 Pro,4.63 Pounds,1109.0
738,Dell,Inspiron 15 I3511,Intel Core i5 Family Intel Core i5-1135G7 2.7 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 11 Pro,3.8 Pounds,689.0
739,Lenovo,Lenovo Ideapad,Intel Core i5 Core i5-10210U,Intel UHD Graphics,8 GB,15.6 Inches,1366 x 768,256 GB SSD,Windows 10 Home,2.3 Kilograms,557.22
740,Dell,Latitude 5320 Laptop,Intel Core i5,Intel,16 GB,13.3 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,2.6 Pounds,1256.53
741,MSI,Modern 14 C12M-495US,Intel Core i3 Family i3-1215U 0.9 GHz,Intel,8 GB,14 Inches,1920 x 1080,512 GB SSD,Windows 11 Home,2.62 Pounds,449.99
742,acer,CB314-1H-C884,Intel Celeron N Celeron N4000 2.6 GHz,Intel,4 GB,14 Inches,1920 x 1080 pixels,64 GB Embedded MultiMediaCard,Chrome OS,3.7 Pounds,188.99
743,LG,LG Ultra 13U70P,AMD Ryzen 5 4500U AMD Ryzen 5 4500U 2.5 GHz,AMD Radeon Graphics,8 GB,13.3 Inches,1920 x 1080,256 GB SSD,Windows 11 Pro,,649.0
744,HP,HP Laptop,AMD AMD Ryzen 5 5500U Ryzen 5 5500U 2.1 GHz,AMD Radeon Graphics,12 GB,15 Inches,1920 x 1080 pixels,256 GB SSD,Windows 11 Home,,325.49
745,Lenovo,,Intel Core i5 Intel Core i5 1235U 1.3 GHz,Intel Iris Xe Graphics,16 GB,14 Inches,1920 x 1200 pixels,512 GB SSD,Windows 11 Home,3.31 Pounds,669.0
746,acer,SP314-55N-76EX,Intel Core i7 i7-1255U 4.7 GHz,Intel Iris Xe Graphics,16 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,3.2 Pounds,1079.99
747,Dell,Dell Latitude,Intel Core i5 Core i5-8350u 1.7 GHz,Intel UHD Graphics 620,8 GB,14.1 Inches,1366 x 768 pixels,,Windows 10 Pro,3.1 Pounds,306.52
748,acer,CP311-2H-C3KA,Intel Celeron N Celeron N4000 2.6 GHz,Intel,4 GB,11.6 Inches,1366 x 768 pixels,64 GB Embedded MultiMediaCard,Chrome OS,2.62 Pounds,311.09
749,Dell,LATITUDE E5450,Intel Core i5 INTEL CORE I5-5200U 2.2 GHz,Integrated Graphics,16 GB,14 Inches,1366 x 768 pixels,128 GB SSD,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,3.98 Pounds,267.98
750,HP,HP EliteBook x360 1040 G8,Intel Core i7 Family Intel Core i7-1185G7 2.4 GHz,Intel Iris Xe Graphics,32 GB,14 Inches,1920 x 1080,2 TB SSD,Windows 10 Pro,,1379.0
751,Dell,Latitude 5300 2-in-1,Intel Core i5-8265U i5-8265 1.6 GHz,Intel Integrated Graphics,16 GB,13.3 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10 Pro,,467.86
752,Dell,Latitude 5520 Laptop,Intel Core i7 1.8 GHz,Intel,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 10 Pro,3.5 Pounds,1131.89
753,LENOVO,THINKPAD YOGA,Intel Core i5 INTEL CORE I5-4200U 1.6 GHz,Integrated Graphics,8 GB,12.5 Inches,1366 x 768 pixels,1000 GB SSD,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,3.46 Pounds,264.98
754,Dell,Latitude,Intel Core i5 Family 2.4 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Pro,1.8 Kilograms,722.77
755,HP,2022,AMD Ryzen 3 3250U 2.6 GHz,AMD Radeon graphics,16 GB,14 Inches,1366x768,128 GB SSD,Windows 11 Home,3.2 Pounds,529.0
756,Alienware,Alienware m15 R7 AMD Gaming Laptop,"AMD Ryzen 9 AMD Ryzen 9 6900HX (8-Core/16 Thread, 20MB Cache, up to 4.9 GHz max boost) 4.9 GHz",NVIDIA GeForce RTX 3070 Ti 8GB GDDR6,32 GB,15.6 Inches,2560 x 1440 pixels,1 TB SSD,Windows 11 Home,5.93 Pounds,2099.97
757,Dell,LATITUDE 3450,Intel Core i5 INTEL CORE I5-5200U 2.2 GHz,Integrated Graphics,16 GB,14 Inches,1366 x 768 pixels,500 GB HDD,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,4.2 Pounds,257.98
758,Lenovo,Lenovo IdeaPad 1,Intel Pentium Sliver N6000 3.3 GHz,Intel UHD Graphics,4 GB,15.6 Inches,1920 x 1080 pixels,,Windows 11 S,,237.09
759,DELL,Inspiron 15 i3530,Intel Core i7 Family Intel Core i7-1355U 3 GHz,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 11 Home,3.6 Pounds,799.49
760,Microsoft,SURFACE LAPTOP GO 2,Intel Intel Core i5-1135G7 1135G7 4.2 GHz,Intel Iris,8 GB,12.4 Inches,1366 x 768 pixels,,Windows 10 Home,2.45 Pounds,468.5
761,acer,Spin 311 2H,Intel MediaTek MT8183 N4000 2.00,ARM Mali-G72 MP3 Graphics,4 GB,11.6 Inches,1366x768,64 GB Emmc,Chrome OS,2 Pounds,218.0
762,HP,,Intel Core i7 i7-1255U 1.7 GHz,Intel,16 GB,14 Inches,1920 x 1200 pixels,512 GB SSD,Windows 11 Pro,4 Pounds,1042.45
763,ASUS,ASUS Chromebook,AMD Ryzen 3 Ryzen 3-7320C 4.1 GHz,AMD,8 GB,16 Inches,1920x1200,128 GB SSD,Chrome OS,3.8 Pounds,599.99
764,Lenovo,ThinkPad X240,Intel Core i5 4300U 1.9 GHz,INTEL,8 GB,12.5 Inches,1366 x 768 pixels,500 GB,Windows 10 Pro 64 Bit-Multi-Language Supports English/Spanish/French,,207.98
765,Dell,Latitude 7320 Laptop,Intel Core i5 2.6 GHz,Intel,16 GB,13.3 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10 Pro,2.5 Pounds,733.42
766,HP,HP Pavilion,Intel Core i3 1.7 GHz,Intel UHD Graphics,16 GB,13.7 Inches,1920 x 1080 pixels,256 GB SSD,"Windows 11 Home, Windows 11",4.6 Pounds,589.99
767,Lenovo,Flex 5,AMD AMD Ryzen 7 5700 2.5 GHz,Integrated AMD Radeon Graphics,16 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,3.3 Pounds,619.99
768,Dell,,Intel Core i5-8350U 3.6 GHz,Intel UHD Graphics,16 GB,14 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10 Pro,,685.0
769,Lenovo,,Intel Core i3 4 GHz,Intel UHD Graphics,20 GB,14 Inches,1366 x 768 pixels,128 GB SSD,Windows 11,3.3 Pounds,399.0
770,HP,STREAM 11 PRO G3,Intel Celeron N3060 INTEL CELERON N3060 1.6 GHz,Integrated Graphics,4 GB,11.6 Inches,1366 x 768 pixels,64 GB SSD,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,2.57 Pounds,159.98
771,Dell,Latitude,Intel Core i7 Family 1255U 1.2 GHz,Intel Iris Xe Graphics,32 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Pro,29 Pounds,1482.85
772,HP,17t,Intel Intel Core i7 1165G7 2.8 GHz,Intel Iris Xe Graphics,32 GB,17.3 Inches,1600 x 900 pixels,2 TB SSD,Windows 11 Home,5.25 Pounds,985.0
773,ASUS,ASUS VivoBook 13 Slate,Intel Pentium Intel Pentium Silver N6000 3.3 GHz,Intel UHD Graphics,8 GB,13.3 Inches,1920 x 1080 pixels,256 GB SSD,Windows 11,1.7 Pounds,673.14
774,HP,chromebook 14,Intel Celeron N3350 1.1 GHz,integrated Intel HD Graphics 500,4 GB,14 Inches,1366x768,32 GB SSD,Chrome OS,327 Grams,265.0
775,acer,311 Chromebook,MediaTek MediaTek MT8183 mediatek_mt8183 2 GHz,Integrated,4 GB,11.6 Inches,1366x768,32 GB SSD,Chrome OS,,180.0
776,ASUS,VivoBook 13 Slate OLED Steven Harrington Edition,Intel Pentium N6000 3.3 GHz,Intel UHD Graphics,8 GB,13.3 Inches,1920 x 1080 pixels,256 GB SSD,Windows 11 Home,1.7 Pounds,899.99
777,LG,16Z90R-K.ADB9U1,Intel Core i7 1360P,Intel Iris,32 GB,16,2560 x 1600 pixels,2 TB SSD,Windows 11 Home,2.64 Pounds,1899.94
778,ASUS,Expertbook B9,Intel Intel Core i7 Intel Core i7-1255U Processor 4.7 GHz,Intel Iris Xe Graphics,32 GB,14 Inches,1920 x 1080 pixels,2 TB SSD,Windows 11 Pro,2.23 Pounds,1979.83
779,SAMSUNG,Chromebook 4,Intel Celeron N3450 Celeron N4020 1.1 GHz,Intel UHD Graphics 600,4 GB,11.6 Inches,1366 x 768 pixels,32 GB Embedded MultiMediaCard,Chrome OS,2.6 Pounds,149.0
780,SAMSUNG,Chromebook Plus,Intel core_m Celeron 3965y 1.5 GHz,Intel HD Graphics 615,4 GB,12.2 Inches,1600 x 600 pixels,,Chrome OS,11.2 Ounces,287.0
